"site_id","address"
"252995","110 Street North of  41 Avenue"
"253043","110 Street North of  64 Avenue"
"253103","110 Street North of  81 Avenue"
"313364","111 Avenue West of 131 Street"
"103012","113 Avenue West of  30 Street"
"254477","113A Street North of  55 Avenue"
"443277","113A Street North of 127 Avenue"
"314060","114 Avenue West of 151 Street"
"103510","114 Avenue West of Tower Road"
"103612","115 Avenue West of  81 Street"
"112785","116 Street North of 112 Avenue"
"314712","117 Avenue West of 130 Street"
"255629","117 Street North of  37 Avenue"
"255725","117 Street North of  87 Avenue"
"255713","117 Street North of  83 Avenue"
"104226","118 Avenue West of  49 Street"
"104270","118 Avenue West of  60 Street"
"104302","118 Avenue West of  67 Street"
"104362","118 Avenue West of  83 Street West"
"104422","118 Avenue West of  92 Street"
"314884","118 Avenue West of 126 Street"
"314924","118 Avenue West of 133 Street"
"314972","118 Avenue West of 145 Street"
"256319","119 Street North of  34 Avenue"
"315060","118 Avenue West of 178 Street"
"104335","118 Avenue West of Wayne Gretzky Drive SB"
"255905","118 Street north of  11B Avenue"
"255983","118 Street North of  32A Avenue"
"104774","119 Avenue West of  77 Street"
"104794","119 Avenue West of  81 Street"
"256307","119 Street  North of Westbrook Drive"
"256313","119 Street North of  32A Avenue"
"256331","119 Street North of  40 Avenue"
"112943","119 Street North of 109A Avenue"
"443929","119 Street North of 135A Avenue"
"256325","119 Street North of Fairway Drive"
"256253","119 Street South of   9B Avenue"
"105072","120 Avenue West of  68 Street"
"105086","120 Avenue West of  71 Street"
"105100","120 Avenue West of  77 Street"
"105108","120 Avenue West of  79 Street"
"105116","120 Avenue West of  81 Street"
"112993","120 Street North of 112 Avenue"
"112997","120 Street North of 114 Avenue"
"256739","122 Street North of  51 Avenue"
"256751","122 Street North of  63 Avenue"
"444789","127 Street North of 158 Avenue"
"444797","127 Street North of 167 Avenue "
"444807","127 Street North of Anthony Henday Drive North"
"407420","137 Avenue West of  56 Street"
"257201","127 Street SW North of  41 Avenue SW"
"401844","128 Avenue West of  78 Street"
"401764","128 Avenue West of  67 Avenue"
"401788","128 Avenue West of  70 Street"
"401812","128 Avenue West of  73 Street"
"316684","128 Avenue West of 148 Street"
"316652","128 Avenue West of St.Albert Trail"
"330517","128 Street North of 108 Avenue"
"402308","129 Avenue West of  56 Street"
"402322","129 Avenue West of  58 Street"
"402356","129 Avenue West of  65 Street"
"407492","137 Avenue West of  79 Street"
"407444","137 Avenue West of  63 Street"
"402504","129 Avenue West of 108 Street"
"402528","129 Avenue West of 113 Street"
"402592","129 Avenue West of 120 Street"
"402600","129 Avenue West of 121 Street"
"402632","129 Avenue West of 124 Street"
"330713","129 Street North of 117 Avenue"
"330817","129 Street North of 148 Avenue"
"330825","129 Street North of 155 Avenue"
"330841","129 Street North of 159 Avenue"
"402828","129B Avenue West of  96 Street"
"403012","130 Avenue West of  50 Street"
"403168","130 Avenue West of  81 Street"
"403176","130 Avenue West of  82 Street"
"113143","124 Street North of 114 Avenue"
"300073","124 Street North of 124 Avenue"
"401296","127 Avenue West of  87 Street"
"401328","127 Avenue West of  91 Street"
"401352","127 Avenue West of  94 Street"
"401552","127 Avenue West of 125 Street West"
"330397","127 Street North of 105 Avenue"
"330409","127 Street North of 108 Avenue"
"330413","127 Street North of 109 Avenue"
"330417","127 Street North of 109A Avenue"
"330421","127 Street North of 110 Avenue"
"330433","127 Street North of 112 Avenue"
"330437","127 Street North of 113 Avenue"
"330449","127 Street North of 116 Avenue"
"330453","127 Street North of 117B Avenue"
"330469","127 Street North of 119 Avenue"
"330485","127 Street North of 123 Avenue"
"330929","130 Street North of 112 Avenue"
"444719","127 Street North of 126 Avenue"
"444721","127 Street North of 127 Avenue"
"444741","127 Street North of 132 Avenue"
"317208","131 Avenue West of St.Albert Trail"
"404344","132 Avenue West of 85 Street"
"444761","127 Street North of 140 Avenue "
"444769","127 Street North of 145 Avenue"
"444785","127 Street North of 153 Avenue"
"404352","132 Avenue West of  88 Street"
"404400","132 Avenue West of  95A Street "
"404496","132 Avenue West of 109 Street "
"404624","132 Avenue West of 126 Street"
"404312","132 Avenue West of Delwood Road"
"331241","132 Street North of 114 Avenue"
"331243","132 Street South of 116 Avenue"
"404652","132A Avenue West of  31 Street"
"405384","134 Avenue West of  59 Street"
"406488","135 Avenue West of 125 Street"
"407092","136 Avenue West of  88 Street"
"331917","136 Street North of 104 Avenue"
"407388","137 Avenue West of  42 Street"
"407476","137 Avenue West of  70 Street"
"407556","137 Avenue West of 102 Street"
"407572","137 Avenue West of 104 Street"
"407524","137 Avenue West of  90A Street"
"407604","137 Avenue West of 111 Street"
"407620","137 Avenue West of 116 Street"
"317940","137 Avenue West of 135 Street"
"318004","137 Avenue West of 163 Street"
"317972","137 Avenue West of St.Albert Trail"
"332181","137 Street North of 153 Avenue"
"408152","139 Avenue West of  30 Street"
"408136","139 Avenue West of  27 Street"
"408184","139 Avenue West of  40 Street"
"408192","139 Avenue West of  42 Street"
"408476","139 Avenue West of 114 Street"
"408500","139 Avenue West of 119 Street"
"408468","139 Avenue West of Castle Downs Road"
"332409","139 Street North of 109 Avenue"
"411404","148 Avenue West of  59 Street"
"332441","139 Street North of 117 Avenue"
"332445","139 Street North of 118 Avenue"
"411424","148 Avenue West of  62 Street"
"318464","148 Avenue West of 127 Street"
"411856","149 Avenue West of  65 Street"
"332453","139 Street North of 119 Avenue"
"332533","139 Street North of 152 Avenue"
"332549","139 Street North of 158 Avenue"
"332433","139 Street North of Woodcroft Avenue"
"408608","140 Avenue West of  59 Street"
"408640","140 Avenue West of  64 Street"
"408724","140 Avenue West of  88A Street"
"408732","140 Avenue West of  90 Street"
"258755","141 Street SW North of Chappelle Drive SW"
"409520","142 Avenue West of 123 Street "
"332881","142 Street North of  89 Avenue"
"332977","142 Street North of 111 Avenue"
"333065","142 Street North of 137 Avenue"
"333075","142 Street North of 157 Avenue"
"333077","142 Street North of 162 Avenue"
"333081","142 Street North of 167 Avenue"
"333809","149 Street North of  84 Avenue"
"332973","142 Street North of McQueen Road"
"259259","143 Street North of  50 Avenue"
"333141","143 Street North of  98 Avenue"
"409832","144 Avenue West of  23 Street"
"414248","153 Avenue West of  18 Street"
"409904","144 Avenue West of  51 Street"
"333813","149 Street North of  87 Avenue"
"409936","144 Avenue West of  57 Street"
"333849","149 Street North of  97 Avenue"
"409976","144 Avenue West of  64 Street"
"410024","144 Avenue West of  74 Street"
"410040","144 Avenue West of  77 Street"
"410056","144 Avenue West of  80 Street"
"410096","144 Avenue West of  88A Street"
"414348","153 Avenue West of  73A Street"
